gene estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue
MAD1L1 2627.26560248417 0.00424707834637819 0.705713026070842 0.980497265534959 2736.59644549735 0.557327536662609 0.595998433511492 0.972505726229703 477.36048038084 0.730098496938826 0.922856771649159 0.991005132002935 1049.82255146039 0.796915059052887 0.833952417895316 0.990212054637543 7128.50328498193 0.912795735567705 0.108457189100245 0.81639185088146 3784.09451420094 0.974617675698083 0.354307677618111 0.963464777500918 3356.02097985442 0.99036018396419 0.444228524782012 0.978192962526233
SNX11 132.602502968059 0.0199398783364986 0.411373535046717 0.94677455226698 171.954834089195 0.260464917600316 0.288439248777601 0.908877493315439 175.590481214647 0.502776176993364 0.249287685495331 0.892454684560781 109.679294577268 0.747790590014953 0.386995928376911 0.929343290977794 62.1714247184923 0.812887471032222 0.633968734699118 0.970129316916558 23.9911858812318 0.908542783668069 0.855018952087242 0.997956125616365 267.318762993223 0.978160414283556 0.165425135674353 0.949211719208879
TMEM176A 315.769485705239 0.0190598545079762 0.421993929440624 0.948158557138473 495.013547115682 0.358139980422527 0.195328891918597 0.86682487776413 764.293968896566 0.518953072815999 0.14507523439579 0.842251268424929 903.557582629732 0.613821616431421 0.100064234127527 0.803286534326045 33.7431696452643 0.755911883283638 0.957712129894052 0.998007854203773 -479.485005636291 0.847968289931134 0.517152271664075 0.984477695587744 1367.61519923986 0.987515359298931 0.033125119645954 0.911887334325042
M6PR 1817.00485788788 0.197563468032157 0.00660900542338024 0.398857065160962 2018.99540883964 0.374375302124306 0.00281385141577988 0.24970992502556 2357.7121679148 0.503515038606232 0.00746979775643859 0.352961549981481 1731.62855697092 0.795010175140774 0.0103743965778484 0.476554883736836 1773.97087814384 0.852352755717982 0.0246968457471821 0.598746059704059 1599.8833050965 0.939917435234616 0.063398553166715 0.76705122580393 1022.9919500354 0.978721626528117 0.326811130750516 0.964176038564104
ALS2 321.087747307677 0.0551097157707634 0.168152030377945 0.858963303308983 132.959797512867 0.519348770916829 0.494557544125256 0.958236827255008 193.261082985681 0.698461868325793 0.289302347395478 0.903925989972746 242.254696508573 0.807136501749225 0.286267268786538 0.908758672901425 129.614324993143 0.899503583182569 0.527177471367558 0.954621207293533 88.4021044375257 0.925536617162993 0.739328424017653 0.997756445741744 175.271096278494 0.993597950910084 0.238271490030478 0.957066609388748
CFLAR 577.326925785198 0.0470590125336514 0.203782875844082 0.877622642122364 683.625939648522 0.456750958715857 0.0852558693991678 0.759044744292924 677.673731036449 0.717372372543524 0.0511229186228567 0.68527393478249 497.668858412707 0.77311186853081 0.216974546049376 0.890528416093223 530.299376665871 0.897720413474184 0.242002582125041 0.917801889550265 1059.67400456846 0.929116874304084 0.132630840993535 0.867456499587192 121.727915452148 0.962955816959748 0.922392167533865 0.998898696998017
TFPI 492.599541224401 0.0100885765585796 0.559987554745899 0.963571137465287 201.219753319172 0.215020664084696 0.809524446606721 0.988698156994234 -586.458351095601 0.803124285448176 0.261051206042357 0.894690033733689 86.4089129550555 0.909850718437965 0.843248581698578 0.991076444605612 239.216965318548 0.957598536504678 0.560782423119719 0.961230743387229 -185.024959462211 0.967023906750926 0.797960846151227 0.997956125616365 554.003894934837 0.981282408563574 0.636661809800076 0.990486055630456
ARF5 -2913.56039835059 0.0150827721723938 0.475490412169459 0.958069367198628 -2299.23277250057 0.616006979501661 0.429634916066431 0.951940381977945 -1238.86733094376 0.749461451146019 0.642601234102057 0.975555237604297 592.669906742793 0.821507258059197 0.84204944823645 0.991076444605612 -34.9970234193887 0.885554210298545 0.991829548953097 0.99957040429639 3658.74663963355 0.945810551535833 0.278567520255402 0.936960821097677 3380.41990051522 0.990755228917827 0.216928329742612 0.953299145682402
POLDIP2 -533.048135641564 0.00082399137540208 0.8680096154422 0.993303242340375 -1637.87595730664 0.301240889815857 0.606642140153887 0.972559389430783 -989.966682121418 0.38222867134281 0.769892786804771 0.979464117476638 160.571452782865 0.597003182093492 0.960062802297589 0.994496963948348 -2768.97713185683 0.825575910556264 0.349685079784705 0.937341093505498 948.445220767103 0.938073039110302 0.708679390655026 0.997377122847242 1414.66232752454 0.979908012702942 0.568494138317912 0.989308201315624
PLXND1 2348.16199600283 0.0120665363424896 0.52362931740145 0.960434750979299 2423.17138466934 0.344240851562752 0.458903919445055 0.956425485420605 2446.52308192095 0.452329340712811 0.48216730150701 0.957694424894444 -477.965484966331 0.633215107141105 0.914121109938395 0.994481354281797 1366.15818956807 0.854716539050704 0.702464278020953 0.981927769399721 -904.274711547822 0.908669910156346 0.826773886874886 0.997956125616365 4292.05391283764 0.961783563851683 0.728768198153108 0.995218921533812
FKBP4 -4310.01221058226 0.0114215909486597 0.535006493184762 0.960434750979299 -1555.95259211273 0.512869788064608 0.804377147026048 0.988101189092424 2588.30190555204 0.842143956842324 0.548615514497434 0.970312654265093 3714.33064430161 0.890250556808297 0.393539868073089 0.929343290977794 2582.15909031411 0.918453702820589 0.640844472228523 0.970902135892557 2145.44071019774 0.961140177132841 0.771989558385975 0.997759400469028 9954.09203467309 0.974794253993361 0.432470671007632 0.977395101423211
