"V1" "V2"
"1" -0.844495716881 2040
"2" -1.5902948272 311.2963
"3" -1.5968309508 188.5644
"4" -0.0956664641363 6022.0692
"5" -1.5768781329 112.6811
"6" -0.7005853223 1408.4952
"7" -1.597352079 83.5786
"8" 0.0119794384 1178.2001
"9" -1.5968309508 269.9745
"10" -0.7005853223 4008.8889
"11" -1.59008528189 154.5692
"12" -0.7210592684 2122.0736
"13" -1.6036276385 183.615
"14" -1.5703420093 131.7506
"15" -0.7005853223 3169.6083
"16" -1.59721064068 132.7778
"17" -1.60295059595 169.7873
"18" -1.54514608892 140.6551
"19" -1.58555764995 423.3449
"20" -1.46041045886 176.602
"21" -0.696142885545 2256.7106
"22" -0.71492759888 1868.8029
"23" -0.829192536106 1308.2978
"24" 0.0461333842828 2729.2141
"25" -0.6940491987 1362.1064
"26" -1.6036276385 131.1787
"27" 0.082698598 1687.2847
"28" -0.7933336485 1663.1486
"29" -0.720978414872 1945.1401
"30" -1.5966004023 118.3889
"31" -1.56897083601 193.2493
"32" -0.7142625807 3212.9415
"33" -1.5902948272 187.0062
"34" -0.732902786466 3117.4009
"35" -1.5970915149 521.0296
"36" -0.864337569614 1548.9811
"37" -1.5968309508 113.7774
"38" -1.60934924886 174.5562
"39" -1.5700814452 207.271
"40" -1.5968309508 211.8534
"41" -0.7005853223 3365.5771
"42" -0.701119033128 2403.3062
"43" -1.57548606225 70.1367
"44" -1.59015338888 515.9939
"45" -1.5902948272 175.6374
"46" -0.8394114709 1181.1619
"47" -1.6173048969 129.54
"48" -0.8845267542 2217.0276
"49" -0.890519437062 1413.3299
"50" -1.5831536924 179.5286
"51" -1.60182807271 137.3877
"52" -1.56853726937 131.7415
"53" -1.54217959834 176.7909
"54" -0.7005853223 1455.7872
"55" -1.5968309508 151.6995
"56" -0.8200831541 1653.0026
"57" -0.7005853223 320.0553
"58" -1.57726439702 214.1208
"59" -1.5902948272 176.3113
"60" -1.56959424759 154.4023
"61" -0.7142625807 1263.9694
"62" -0.7142625807 1874.309
"63" -1.5831536924 119.1245
"64" -1.5902948272 217.97
"65" -0.0850419982928 2978.8995
"66" -1.60315491692 222.5932
"67" -0.883134683546 1816.7802
"68" -0.8511732788 1432.0525
"69" -1.61637508133 220.2421
"70" -0.6940491987 569.9346
"71" -0.693771546403 475.2594
"72" -0.838916436783 1959.3397
"73" -1.5195756676 216.9312
"74" -0.79763817339 2247.3207
"75" -0.841432414789 1065.6076
"76" -1.59702079574 135.6254
"77" -0.655141363274 2255.4511
"78" -1.56986928772 298.0512
"79" -1.5700814452 222.7222
"80" 0.0772843782046 4798.5578
"81" -0.695805343877 2923.0585
"82" -1.6170443328 176.1006
"83" 0.0431568992 8289.9387
"84" 0.0782264569374 4625.4941
"85" -1.5968309508 195.7858
"86" -1.55578199579 190.8763
"87" 0.0313950913 4249.5641
"88" -0.801325605844 2848.6959
"89" -1.6170443328 117.8173
"90" -1.5902948272 125.2152
"91" -1.6036276385 257.5496
"92" -0.730320713822 1967.9219
"93" -0.7005853223 1720.9675
"94" -0.831311992278 2223.335
"95" -1.5970915149 153.1889
"96" -1.5766175688 377.8459
"97" -1.61720382999 428.558
"98" -1.58451575202 167.9477
"99" -0.864810110436 1516.8299
"100" -1.5766175688 155.6229
"101" -0.6940491987 2980.5546
"102" 0.0244967296492 15713.4844
"103" -1.5968309508 80.7387
"104" -0.8446371552 458.3446
"105" -0.703866676105 3557.1429
"106" -1.58228124963 312.8
"107" 0.0826855257528 6892.6062
"108" -1.6033670744 356.1064
"109" -1.59001195056 826.7559
"110" -0.695715112483 1224.4898
"111" -0.720917830081 2036.9814
"112" -1.5905553913 125.1837
"113" -1.617565461 177.1199
"114" -0.8533492934 1767.9087
"115" -0.105721546229 2567.7113
"116" -0.6940491987 2965.9667
"117" -1.5905553913 110.5638
"118" -1.54335630709 121.3974
"119" -1.59041395298 178.4752
"120" -0.6940491987 1619.1806
"121" -1.5902948272 133.3333
"122" -0.832881883424 1100.9811
"123" -1.6036276385 138.9432
"124" -0.7005853223 1196.3718
"125" -1.57555497509 75.8699
"126" -1.5768781329 208.1759
"127" 0.1819830478 1149.081
"128" -0.8328753473 568.9317
"129" -0.8583144136 1166.8644
"130" -0.835045655018 1783.0979
"131" -0.700307670003 2025.5106
"132" -1.6105082092 201.8714
"133" -0.8328753473 2116.7967
"134" -1.56945542145 173.6392
"135" -0.7933336485 573.3471
"136" -1.59654807416 168.8087
"137" -0.820485156519 1904.744
"138" -0.7005853223 732.4789
"139" -1.5766175688 171.0178
"140" -1.5970915149 157.2779
"141" -0.7142625807 1154.7717
"142" -0.830952683957 1860.7093
"143" -1.59542560112 263.9624
"144" -0.8331359114 1731.6468
"145" -1.5905553913 167.1056
"146" -1.5766175688 242.3625
"147" -0.859885417 1962.1004
"148" -0.7142625807 2545.5604
"149" -0.720648373457 1326.9546
"150" -1.5766175688 274.9461
"151" -0.871645661515 1117.1007
"152" -0.8910628778 2844.2894
"153" -1.5902948272 127.2748
"154" -0.644772232352 1103.7528
"155" -1.5902948272 118.8284
"156" -1.60326600749 148.1481
"157" -1.617565461 281.6246
"158" -0.721069169836 1235.8783
"159" 0.0431568992 2383.9041
"160" -1.44845894357 405.6886
"161" -1.59678519793 138.8013
"162" -0.8200831541 4087.4085
"163" -0.0844718168863 2528.2136
"164" -0.066450159708 2874.2296
"165" -1.5899412314 190.794
"166" -0.85301801014 2299.435
"167" -1.59661879332 160.9995
"168" -0.743240808976 469.0083
"169" -0.872697640689 806.7252
"170" -0.714263101828 2640.7378
"171" -0.844495716881 2659.7119
"172" -1.5902948272 376.8786
"173" -1.54598387505 229.1719
"174" -0.843870427955 1419.5421
"175" -1.57919956752 253.733
"176" -1.59707988455 161.7944
"177" -0.846793448777 1954.7159
"178" -0.6940491987 583.3333
"179" -1.5970915149 191.0666
"180" -0.694726241246 1302.2023
"181" -0.7145231448 3171.7742
"182" -0.699389244646 972.0323
"183" -1.57463743233 145.749
"184" -0.7142625807 1886.3636
"185" -1.58313408403 240.8501
"186" -1.61053430328 168.9233
"187" -1.57522930731 267.0771
"188" -0.7145231448 983.8615
"189" -0.884480589041 996.211
"190" -0.0867541723911 3274.5233
"191" -0.819812575107 3972.8353
"192" -0.838360814008 473.366
"193" -1.5700814452 551.0524
"194" -0.858045999238 1792.4771
"195" -0.843406844293 2909.731
"196" -0.7210592684 2034.9682
"197" -1.51265160499 412.1019
"198" -1.60936257315 256.7382
"199" -1.60357573495 106.5111
"200" -0.846908856675 2337.9838
"201" -0.859970386607 3468.0669
"202" -0.820213876572 1716.3874
"203" -0.853089510992 2546.8075
"204" -0.832888419547 7093.8452
"205" -0.8328753473 1939.2605
"206" -1.6036276385 214.1569
"207" -1.58301230316 189.7906
"208" -0.8394114709 1538.0475
"209" -1.57661103268 119.2214
"210" -0.859885417 1678.9232
"211" -1.6241015846 231.4534
"212" -1.5961540516 315.6385
"213" -1.61692889534 139.6044
"214" -1.5766175688 602.2129
"215" -1.5766175688 336.3373
"216" -1.6036276385 266.5142
"217" -0.78036558645 1647.0588
"218" -1.6173048969 238.9201
"219" -1.5970915149 79.0514
"220" -1.6033499862 201.4283
"221" -1.5700814452 173.5653
"222" -1.6033670744 121.7805
"223" -0.849978302738 1959.3402
"224" -0.119988259543 3380.8166
